brand_cn,brand_en,brand_slug,title,price_hkd,length_mm,ring_gauge,handle,category_slug,cuban_parent_slug,image1,image2,image3,image4,image5
大衛杜夫,Davidoff,davidoff-cuban,尼加拉瓜系列10週年限量版 Nicaragua 10th Anniversary (12枝),4800,152,56,davidoff-cuban-10-nicaragua-10th-anniversary-,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260375486-Davidoff_Nicaragua_10th_1.jpg,https://api.shangjiacigar.com/static/1774260375487-Davidoff_Nicaragua_10th_2.jpg,https://api.shangjiacigar.com/static/1774260375488-Davidoff_Nicaragua_10th_Anniversary_1.jpg,https://api.shangjiacigar.com/static/1774260375489-Davidoff_Nicaragua_10th_Anniversary_2.jpg,https://api.shangjiacigar.com/static/1774260375489-Davidoff_Nicaragua_10th_Anniversary_3.jpg
大衛杜夫,Davidoff,davidoff-cuban,兔年限量版 YEAR OF RABBIT (10枝),4500,151,54,davidoff-cuban-year-of-rabbit-10,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260376536-Davidoff_YEAR_OF_RABBIT_1.jpg,https://api.shangjiacigar.com/static/1774260376537-Davidoff_YEAR_OF_RABBIT_2.jpg,https://api.shangjiacigar.com/static/1774260376538-Davidoff_YEAR_OF_RABBIT_3.jpg,https://api.shangjiacigar.com/static/1774260376540-Davidoff_YEAR_OF_RABBIT_4.jpg,https://api.shangjiacigar.com/static/1774260376540-Davidoff_YEAR_OF_RABBIT_5.jpg
大衛杜夫,Davidoff,davidoff-cuban,署名2000 SIGNATURE 2000 (20枝),2900,127,43,davidoff-cuban-2000-signature-2000-20,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260378479-Davidoff_SIGNATURE_2000_2.jpg,https://api.shangjiacigar.com/static/1774260378481-Davidoff_SIGNATURE_2000_3.jpg,https://api.shangjiacigar.com/static/1774260378483-Davidoff_SIGNATURE_2000_4.jpg,,
大衛杜夫,Davidoff,davidoff-cuban,週年特別版T Aniversario Special T（20支）,4800,152,52,davidoff-cuban-t-aniversario-special-t-20,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260378483-Davidoff_Aniversario_Special_T_1.jpg,https://api.shangjiacigar.com/static/1774260378483-Davidoff_Aniversario_Special_T_2.jpg,https://api.shangjiacigar.com/static/1774260379325-Davidoff_Aniversario_Special_T_3.jpg,,
大衛杜夫,Davidoff,davidoff-cuban,千禧魚雷Millennium Piramides（10支）,3100,156,52,davidoff-cuban-millennium-piramides-10,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260379326-Davidoff_Millennium_Piramides_2.jpg,https://api.shangjiacigar.com/static/1774260379326-Davidoff_Millennium_Piramides_3.jpg,,,
大衛杜夫,Davidoff,davidoff-cuban,艾斯库里大高朗拿Escurio Corona （12枝）,2450,152,46,davidoff-cuban-escurio-corona-12,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
大衛杜夫,Davidoff,davidoff-cuban,至暗時刻羅伯圖 THE LATE HOUR ROBUSTO (20枝),4400,127,53,davidoff-cuban-the-late-hour-robusto-20,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260379326-Davidoff_THE_LATE_HOUR_ROBUSTO_2.jpg,https://api.shangjiacigar.com/static/1774260379326-Davidoff_THE_LATE_HOUR_ROBUSTO_3.jpg,https://api.shangjiacigar.com/static/1774260380803-Davidoff_The_Late_Hour_Churchill_1.jpg,https://api.shangjiacigar.com/static/1774260380805-Davidoff_The_Late_Hour_Churchill_2.jpg,https://api.shangjiacigar.com/static/1774260380806-Davidoff_The_Late_Hour_Churchill_3.jpg
大衛杜夫,Davidoff,davidoff-cuban,至暗時刻丘吉爾 The Late Hour(20枝),4800,178,48,davidoff-cuban-the-late-hour-20,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
大衛杜夫,Davidoff,davidoff-cuban,至暗時刻TORO托罗（20枝）,4600,152,44,davidoff-cuban-toro-20,davidoff-cuban,cigar-cuban,https://api.shangjiacigar.com/static/1774260380806-Davidoff_TORO_1.jpg,https://api.shangjiacigar.com/static/1774260380807-Davidoff_TORO_2.jpg,,,
玻利瓦爾,BOLIVAR,bolivar,小高朗拿 PETIT CORONAS (25枝),3480,129,42,bolivar-petit-coronas-25,bolivar,cigar-cuban,https://api.shangjiacigar.com/static/1774260382097-BOLIVAR_PETIT_CORONAS_1.jpg,https://api.shangjiacigar.com/static/1774260382097-BOLIVAR_PETIT_CORONAS_2.jpg,https://api.shangjiacigar.com/static/1774260382097-BOLIVAR_PETIT_CORONAS_3.jpg,https://api.shangjiacigar.com/static/1774260382099-BOLIVAR_PETIT_CORONAS_4.jpg,https://api.shangjiacigar.com/static/1774260382098-BOLIVAR_PETIT_CORONAS_5.jpg
玻利瓦爾,BOLIVAR,bolivar,高朗拿少年 CORONAS SENIORS (25枝),3300,132,42,bolivar-coronas-seniors-25,bolivar,cigar-cuban,https://api.shangjiacigar.com/static/1774260384304-BOLIVAR_CORONAS_SENIORS_2.jpg,,,,
玻利瓦爾,BOLIVAR,bolivar,皇家皇冠 Royal Coronas (25支),5900,124,50,bolivar-royal-coronas-25,bolivar,cigar-cuban,https://api.shangjiacigar.com/static/1774260384306-BOLIVAR_Royal_Coronas_1.jpg,https://api.shangjiacigar.com/static/1774260384305-BOLIVAR_Royal_Coronas_2.jpg,https://api.shangjiacigar.com/static/1774260384309-BOLIVAR_Royal_Coronas_3.jpg,,
